res_15_gp_id,block,gp,district,merge10gp
2030,jahangirganj,kalyanpur,ambedkar nagar,0
2034,jahangirganj,kasturipur,ambedkar nagar,0
2036,jahangirganj,kevatli,ambedkar nagar,0
2041,jahangirganj,kotia ashrafpur,ambedkar nagar,0
2042,jahangirganj,kuraanv,ambedkar nagar,0
2053,jahangirganj,narvarpattee,ambedkar nagar,0
2058,jahangirganj,nikspur,ambedkar nagar,0
2063,jahangirganj,saanti,ambedkar nagar,0
2073,jahangirganj,shivarajpattee,ambedkar nagar,0
2074,jahangirganj,singhpur,ambedkar nagar,0
2077,jahangirganj,tandva jalaal,ambedkar nagar,0
2087,jahangirganj,vishwanathpur,ambedkar nagar,0
2088,jalalpur,aindalpur,ambedkar nagar,0
2100,jalalpur,barauli,ambedkar nagar,0
2108,jalalpur,bibipur,ambedkar nagar,0
2110,jalalpur,bishmbharpur,ambedkar nagar,0
2116,jalalpur,dariyapur,ambedkar nagar,0
2122,jalalpur,faridpur,ambedkar nagar,0
2125,jalalpur,gaurakamalpur,ambedkar nagar,0
2130,jalalpur,guwapakad,ambedkar nagar,0
2132,jalalpur,hajpura,ambedkar nagar,0
2133,jalalpur,haripalpur,ambedkar nagar,0
2138,jalalpur,jagatupurbiltai,ambedkar nagar,0
2145,jalalpur,kaitha,ambedkar nagar,0
2155,jalalpur,kothibhaar,ambedkar nagar,0
2164,jalalpur,minuddinupar,ambedkar nagar,0
2165,jalalpur,mirapur,ambedkar nagar,0
2166,jalalpur,murvaah,ambedkar nagar,0
2168,jalalpur,naripur mehnaspur,ambedkar nagar,0
2171,jalalpur,panthipur,ambedkar nagar,0
2177,jalalpur,rampurduve,ambedkar nagar,0
2180,jalalpur,ruchauli adai,ambedkar nagar,0
2186,jalalpur,salahuddinpur,ambedkar nagar,0
2193,jalalpur,shekhpura rajkumaari,ambedkar nagar,0
2194,jalalpur,sipaah,ambedkar nagar,0
2210,katehari,aashajitpur ahiraan,ambedkar nagar,0
2218,katehari,bajdahaan,ambedkar nagar,0
2228,katehari,bhiura,ambedkar nagar,0
2231,katehari,chandaini,ambedkar nagar,0
2232,katehari,chandpur mahamudpur,ambedkar nagar,0
2237,katehari,durgupur,ambedkar nagar,0
2242,katehari,gosarpur,ambedkar nagar,0
2246,katehari,haripur,ambedkar nagar,0
2268,katehari,naktahaan,ambedkar nagar,0
2278,katehari,pilkhaavaan,ambedkar nagar,0
2283,katehari,ramnagar jamadara,ambedkar nagar,0
2292,katehari,sarakhane kisunipur,ambedkar nagar,0
2302,katehari,vikwajitpur,ambedkar nagar,0
2307,ramnagar,akhlaspur,ambedkar nagar,0
2314,ramnagar,ashrafabad,ambedkar nagar,0
2316,ramnagar,baharaampur,ambedkar nagar,0
2323,ramnagar,bhura,ambedkar nagar,0
2329,ramnagar,chandanpur,ambedkar nagar,0
2332,ramnagar,dharmpur karmatepur,ambedkar nagar,0
2337,ramnagar,hakimpur khurd,ambedkar nagar,0
2349,ramnagar,karaudilala,ambedkar nagar,0
2351,ramnagar,katokhar,ambedkar nagar,0
2355,ramnagar,khwajebdapur,ambedkar nagar,0
2369,ramnagar,mirzapur jangal,ambedkar nagar,0
2370,ramnagar,mongolpur,ambedkar nagar,0
2375,ramnagar,pagahra,ambedkar nagar,0
2378,ramnagar,parsauli,ambedkar nagar,0
2379,ramnagar,parsuna,ambedkar nagar,0
2381,ramnagar,ramkola,ambedkar nagar,0
2390,ramnagar,saidpur ledvadih,ambedkar nagar,0
2392,ramnagar,samuda,ambedkar nagar,0
2399,ramnagar,shahpur mahamudpur,ambedkar nagar,0
2402,ramnagar,sipaah,ambedkar nagar,0
2405,ramnagar,tendua,ambedkar nagar,0
2410,tanda,alampur dhanora,ambedkar nagar,0
2423,tanda,baddoopur,ambedkar nagar,0
2427,tanda,basavanpur,ambedkar nagar,0
2428,tanda,belahari,ambedkar nagar,0
2429,tanda,belaspur,ambedkar nagar,0
2431,tanda,bharaha,ambedkar nagar,0
2436,tanda,chandauli,ambedkar nagar,0
2441,tanda,danpur,ambedkar nagar,0
2449,tanda,faridpur kala,ambedkar nagar,0
2454,tanda,ghuranpur,ambedkar nagar,0
