district,block,res_15_gp,res_15_gp_id,merge10gp,res_10_gp,res_10_gp_id,res_10_block
ambedkar nagar,bhiyaanv,mahamudpur,1944,0,,,
ambedkar nagar,bhiyaanv,mahuval,1945,0,,,
ambedkar nagar,bhiyaanv,majagavaan,1946,0,,,
ambedkar nagar,bhiyaanv,makhdumpur,1947,0,,,
ambedkar nagar,bhiyaanv,mandahaan,1948,0,,,
ambedkar nagar,bhiyaanv,marahara,1949,0,,,
ambedkar nagar,bhiyaanv,masodha,1950,0,,,
ambedkar nagar,bhiyaanv,mathia,1951,0,,,
ambedkar nagar,bhiyaanv,mathura rasulpur,1952,0,,,
ambedkar nagar,bhiyaanv,mirzapur,1953,0,,,
ambedkar nagar,bhiyaanv,mundehra,1954,0,,,
ambedkar nagar,bhiyaanv,muskaraai,1955,0,,,
ambedkar nagar,bhiyaanv,nevadakala,1956,0,,,
ambedkar nagar,bhiyaanv,nimatini,1957,0,,,
ambedkar nagar,bhiyaanv,nonhar,1958,0,,,
ambedkar nagar,bhiyaanv,nurpurkala,1959,0,,,
ambedkar nagar,bhiyaanv,pabhipur,1960,0,,,
ambedkar nagar,bhiyaanv,packuli,1961,0,,,
ambedkar nagar,bhiyaanv,pakkhanpur,1962,0,,,
ambedkar nagar,bhiyaanv,parvatpur,1963,0,,,
ambedkar nagar,bhiyaanv,phulwari,1964,0,,,
ambedkar nagar,bhiyaanv,pindoriya,1965,0,,,
ambedkar nagar,bhiyaanv,pooraavadalhi,1966,0,,,
ambedkar nagar,bhiyaanv,pratappurkala,1967,0,,,
ambedkar nagar,bhiyaanv,rajapur,1968,0,,,
ambedkar nagar,bhiyaanv,ramgarh,1969,0,,,
ambedkar nagar,bhiyaanv,randuli,1970,0,,,
ambedkar nagar,bhiyaanv,ratana,1971,0,,,
ambedkar nagar,bhiyaanv,sabargah,1972,0,,,
ambedkar nagar,bhiyaanv,sakara dakshin,1973,0,,,
ambedkar nagar,bhiyaanv,sehari,1974,0,,,
ambedkar nagar,bhiyaanv,semra,1975,0,,,
ambedkar nagar,bhiyaanv,shahpur,1976,0,,,
ambedkar nagar,bhiyaanv,shekhpur paliwari,1977,0,,,
ambedkar nagar,bhiyaanv,shivpal,1978,0,,,
ambedkar nagar,bhiyaanv,udayapur ohmadpur,1979,0,,,
ambedkar nagar,bhiyaanv,vallipur,1980,0,,,
ambedkar nagar,jahangirganj,asanaaraa,1985,0,,,
ambedkar nagar,jahangirganj,bachuapaar,1987,0,,,
ambedkar nagar,jahangirganj,bairibujurg,1989,0,,,
ambedkar nagar,jahangirganj,bhupatipur kodraha,1997,0,,,
ambedkar nagar,jahangirganj,birkhet,1998,0,,,
ambedkar nagar,jahangirganj,dubauli,2008,0,,,
ambedkar nagar,jahangirganj,ganpatpur,2012,0,,,
ambedkar nagar,jahangirganj,hemarajpur,2017,0,,,
ambedkar nagar,jahangirganj,jaiti,2023,0,,,
ambedkar nagar,jahangirganj,jallaapur,2024,0,,,
ambedkar nagar,jahangirganj,jotpur jolhapur,2027,0,,,
ambedkar nagar,jahangirganj,kalyanpur,2030,0,,,
ambedkar nagar,jahangirganj,kasturipur,2034,0,,,
ambedkar nagar,jahangirganj,kevatli,2036,0,,,
ambedkar nagar,jahangirganj,kotia ashrafpur,2041,0,,,
ambedkar nagar,jahangirganj,kuraanv,2042,0,,,
ambedkar nagar,jahangirganj,narvarpattee,2053,0,,,
ambedkar nagar,jahangirganj,nikspur,2058,0,,,
ambedkar nagar,jahangirganj,saanti,2063,0,,,
ambedkar nagar,jahangirganj,shivarajpattee,2073,0,,,
ambedkar nagar,jahangirganj,singhpur,2074,0,,,
ambedkar nagar,jahangirganj,tandva jalaal,2077,0,,,
ambedkar nagar,jahangirganj,vishwanathpur,2087,0,,,
ambedkar nagar,jalalpur,aindalpur,2088,0,,,
ambedkar nagar,jalalpur,barauli,2100,0,,,
ambedkar nagar,jalalpur,bibipur,2108,0,,,
ambedkar nagar,jalalpur,bishmbharpur,2110,0,,,
ambedkar nagar,jalalpur,dariyapur,2116,0,,,
ambedkar nagar,jalalpur,faridpur,2122,0,,,
ambedkar nagar,jalalpur,gaurakamalpur,2125,0,,,
ambedkar nagar,jalalpur,guwapakad,2130,0,,,
ambedkar nagar,jalalpur,hajpura,2132,0,,,
ambedkar nagar,jalalpur,haripalpur,2133,0,,,
ambedkar nagar,jalalpur,jagatupurbiltai,2138,0,,,
ambedkar nagar,jalalpur,kaitha,2145,0,,,
ambedkar nagar,jalalpur,kothibhaar,2155,0,,,
ambedkar nagar,jalalpur,minuddinupar,2164,0,,,
ambedkar nagar,jalalpur,mirapur,2165,0,,,
ambedkar nagar,jalalpur,murvaah,2166,0,,,
ambedkar nagar,jalalpur,naripur mehnaspur,2168,0,,,
ambedkar nagar,jalalpur,panthipur,2171,0,,,
ambedkar nagar,jalalpur,rampurduve,2177,0,,,
ambedkar nagar,jalalpur,ruchauli adai,2180,0,,,
ambedkar nagar,jalalpur,salahuddinpur,2186,0,,,
ambedkar nagar,jalalpur,shekhpura rajkumaari,2193,0,,,
ambedkar nagar,jalalpur,sipaah,2194,0,,,
ambedkar nagar,katehari,aashajitpur ahiraan,2210,0,,,
ambedkar nagar,katehari,bajdahaan,2218,0,,,
ambedkar nagar,katehari,bhiura,2228,0,,,
ambedkar nagar,katehari,chandaini,2231,0,,,
ambedkar nagar,katehari,chandpur mahamudpur,2232,0,,,
ambedkar nagar,katehari,durgupur,2237,0,,,
ambedkar nagar,katehari,gosarpur,2242,0,,,
ambedkar nagar,katehari,haripur,2246,0,,,
ambedkar nagar,katehari,naktahaan,2268,0,,,
ambedkar nagar,katehari,pilkhaavaan,2278,0,,,
ambedkar nagar,katehari,ramnagar jamadara,2283,0,,,
ambedkar nagar,katehari,sarakhane kisunipur,2292,0,,,
ambedkar nagar,katehari,vikwajitpur,2302,0,,,
ambedkar nagar,ramnagar,akhlaspur,2307,0,,,
ambedkar nagar,ramnagar,ashrafabad,2314,0,,,
ambedkar nagar,ramnagar,baharaampur,2316,0,,,
ambedkar nagar,ramnagar,bhura,2323,0,,,
ambedkar nagar,ramnagar,chandanpur,2329,0,,,
ambedkar nagar,ramnagar,dharmpur karmatepur,2332,0,,,
ambedkar nagar,ramnagar,hakimpur khurd,2337,0,,,
ambedkar nagar,ramnagar,karaudilala,2349,0,,,
ambedkar nagar,ramnagar,katokhar,2351,0,,,
ambedkar nagar,ramnagar,khwajebdapur,2355,0,,,
ambedkar nagar,ramnagar,mirzapur jangal,2369,0,,,
ambedkar nagar,ramnagar,mongolpur,2370,0,,,
ambedkar nagar,ramnagar,pagahra,2375,0,,,
ambedkar nagar,ramnagar,parsauli,2378,0,,,
ambedkar nagar,ramnagar,parsuna,2379,0,,,
ambedkar nagar,ramnagar,ramkola,2381,0,,,
ambedkar nagar,ramnagar,saidpur ledvadih,2390,0,,,
ambedkar nagar,ramnagar,samuda,2392,0,,,
ambedkar nagar,ramnagar,shahpur mahamudpur,2399,0,,,
ambedkar nagar,ramnagar,sipaah,2402,0,,,
ambedkar nagar,ramnagar,tendua,2405,0,,,
ambedkar nagar,tanda,alampur dhanora,2410,0,,,
ambedkar nagar,tanda,baddoopur,2423,0,,,
ambedkar nagar,tanda,basavanpur,2427,0,,,
ambedkar nagar,tanda,belahari,2428,0,,,
ambedkar nagar,tanda,belaspur,2429,0,,,
ambedkar nagar,tanda,bharaha,2431,0,,,
ambedkar nagar,tanda,chandauli,2436,0,,,
ambedkar nagar,tanda,danpur,2441,0,,,
ambedkar nagar,tanda,faridpur kala,2449,0,,,
ambedkar nagar,tanda,ghuranpur,2454,0,,,
ambedkar nagar,tanda,govardhanpur,2455,0,,,
ambedkar nagar,tanda,janardanpur,2464,0,,,
ambedkar nagar,tanda,jot afjal,2467,0,,,
ambedkar nagar,tanda,kajipur,2469,0,,,
ambedkar nagar,tanda,keshavpur,2474,0,,,
ambedkar nagar,tanda,makhdoom sarai,2486,0,,,
ambedkar nagar,tanda,miranpur babhanpura,2488,0,,,
ambedkar nagar,tanda,miranpur sadahali,2489,0,,,
ambedkar nagar,tanda,mustafabad,2494,0,,,
ambedkar nagar,tanda,nandapur,2495,0,,,
ambedkar nagar,tanda,pipari mohammadi,2504,0,,,
ambedkar nagar,tanda,piyarepur dwitiya,2507,0,,,
ambedkar nagar,tanda,purabaxrai,2509,0,,,
ambedkar nagar,tanda,rudrapur bhagaahi,2515,0,,,
ambedkar nagar,tanda,trilokpur,2524,0,,,
amethi,amethi,agar,2528,0,agar,13972,
amethi,amethi,bahapur,2529,0,,,
